epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3580.7,1.13563,0.94166,1.36876,0.80914,0.55,0.64458,0.36843,1.60514,1.42119,1.83778,0.0004952,0.0004952,0.0004952
78,3615.72,1.04498,0.86223,1.36096,0.75639,0.54354,0.60861,0.36789,1.55225,1.42881,1.84229,0.0004754,0.0004754,0.0004754
79,3652.26,1.11053,0.96712,1.37438,0.75713,0.525,0.62477,0.38571,1.55124,1.43027,1.84632,0.0004556,0.0004556,0.0004556
80,3696.17,1.13799,0.86335,1.40061,0.67891,0.575,0.62921,0.36493,1.59332,1.47388,1.84381,0.0004358,0.0004358,0.0004358
81,3731.03,1.05227,0.86623,1.28839,0.67891,0.575,0.62921,0.36493,1.59332,1.47388,1.84381,0.000416,0.000416,0.000416
82,3767.82,1.13801,0.9841,1.45113,0.73969,0.55,0.62735,0.35159,1.65373,1.49458,1.86204,0.0003962,0.0003962,0.0003962
83,3800.87,1.04181,0.75633,1.2027,0.78209,0.575,0.6562,0.34951,1.6764,1.52471,1.84692,0.0003764,0.0003764,0.0003764
84,3838.27,1.04452,0.8582,1.28479,0.77832,0.575,0.64922,0.3449,1.63377,1.51695,1.82265,0.0003566,0.0003566,0.0003566
85,3877.87,1.08405,0.86192,1.33367,0.77832,0.575,0.64922,0.3449,1.63377,1.51695,1.82265,0.0003368,0.0003368,0.0003368
86,3912.84,1.0899,0.88268,1.35943,0.72587,0.575,0.64457,0.34972,1.6142,1.49588,1.79748,0.000317,0.000317,0.000317
87,3946.91,1.07099,0.88014,1.36113,0.70514,0.59792,0.64745,0.35767,1.63643,1.47088,1.80118,0.0002972,0.0002972,0.0002972
88,3980.21,1.03625,0.81239,1.30477,0.70201,0.6,0.67759,0.36784,1.65162,1.4553,1.80679,0.0002774,0.0002774,0.0002774
89,4012.97,0.97091,0.76983,1.28248,0.70201,0.6,0.67759,0.36784,1.65162,1.4553,1.80679,0.0002576,0.0002576,0.0002576
90,4049.29,1.0553,0.80563,1.29012,0.72925,0.625,0.68128,0.36986,1.62527,1.4122,1.79401,0.0002378,0.0002378,0.0002378
91,4090.8,0.90218,0.85736,1.20532,0.69495,0.65,0.69086,0.37986,1.61569,1.37847,1.80528,0.000218,0.000218,0.000218
92,4125.19,0.84047,0.71013,1.1788,0.66447,0.65,0.70343,0.36912,1.64745,1.35012,1.83706,0.0001982,0.0001982,0.0001982
93,4158.62,0.9406,0.80006,1.26991,0.66447,0.65,0.70343,0.36912,1.64745,1.35012,1.83706,0.0001784,0.0001784,0.0001784
94,4192.87,0.91183,0.88367,1.22711,0.68731,0.625,0.71522,0.36695,1.63052,1.31593,1.84321,0.0001586,0.0001586,0.0001586
95,4229.75,0.85481,0.75444,1.14025,0.69531,0.625,0.72861,0.366,1.61358,1.29241,1.82073,0.0001388,0.0001388,0.0001388
96,4279.38,0.80504,0.91487,1.13832,0.77628,0.625,0.73265,0.36692,1.58689,1.28094,1.7988,0.000119,0.000119,0.000119
97,4317.68,0.88261,0.68239,1.2105,0.77628,0.625,0.73265,0.36692,1.58689,1.28094,1.7988,9.92e-05,9.92e-05,9.92e-05
98,4354.32,0.93987,0.72021,1.26711,0.74085,0.65,0.73817,0.36857,1.56841,1.27156,1.78789,7.94e-05,7.94e-05,7.94e-05
99,4395.88,0.8298,0.69279,1.10793,0.7531,0.65,0.74351,0.37342,1.55026,1.27462,1.77433,5.96e-05,5.96e-05,5.96e-05
100,4430.27,0.83564,0.70999,1.1569,0.73942,0.7,0.75283,0.37442,1.53577,1.25855,1.76184,3.98e-05,3.98e-05,3.98e-05
